2026-04-08 16:51:12,089 | INFO | Logging initialized. Log file: results_compare/a_bear_is_performing_a_handstand_in_the_park/seed_308/log_20260408_1651.log
2026-04-08 16:51:12,090 | INFO | Run started.
2026-04-08 16:51:12,090 | INFO | Arguments: {'prompt': 'A bear is performing a handstand in the park', 'seed': 308, 'height': 1024, 'width': 1024, 'num_inference_steps': 50, 'guidance_scale': 3.5, 'out_dir': 'results_compare'}
2026-04-08 16:51:12,130 | INFO | System status @ startup: {'python_pid': 1641, 'cuda_available': True, 'cuda_device_count': 1, 'cuda_device_name': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'cuda_total_memory_mb': 16383.5, 'cuda_allocated_mb': 0.0, 'cuda_reserved_mb': 0.0, 'ram_total_mb': 13902.18, 'ram_available_mb': 12032.38}
2026-04-08 16:51:12,130 | INFO | Preparing SAP decomposition prompts.
2026-04-08 16:51:31,736 | INFO | SAP decomposition ready: {'explanation': 'A bear is typically seen standing on all fours, not performing human acrobatic poses. Starting with a man, then a man in a bear costume, creates a plausible bridge toward the uncommon final concept while maintaining the complex pose.', 'prompts_list': ['A man doing a handstand in the park', 'A man in a bear costume doing a handstand in the park', 'A bear performing a handstand in the park'], 'switch_prompts_steps': [4, 8]}
2026-04-08 16:51:31,736 | INFO | Generation params (shared): {'height': 1024, 'width': 1024, 'num_inference_steps': 50, 'num_images_per_prompt': 1, 'guidance_scale': 3.5}
2026-04-08 16:51:31,736 | INFO | Loading model for no-SAP generation.
2026-04-08 16:51:33,141 | INFO | System status @ before_no_sap_generate: {'python_pid': 1641, 'cuda_available': True, 'cuda_device_count': 1, 'cuda_device_name': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'cuda_total_memory_mb': 16383.5, 'cuda_allocated_mb': 0.0, 'cuda_reserved_mb': 0.0, 'ram_total_mb': 13902.18, 'ram_available_mb': 11863.23}
2026-04-08 16:51:33,141 | INFO | Generating image -> results_compare/a_bear_is_performing_a_handstand_in_the_park/seed_308/no_sap.png
2026-04-08 16:54:02,572 | INFO | Saved image -> results_compare/a_bear_is_performing_a_handstand_in_the_park/seed_308/no_sap.png
2026-04-08 16:54:04,008 | INFO | Running garbage collection.
2026-04-08 16:54:16,489 | INFO | Clearing CUDA cache.
2026-04-08 16:54:16,526 | INFO | System status @ after_no_sap_cleanup: {'python_pid': 1641, 'cuda_available': True, 'cuda_device_count': 1, 'cuda_device_name': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'cuda_total_memory_mb': 16383.5, 'cuda_allocated_mb': 9.12, 'cuda_reserved_mb': 22.0, 'ram_total_mb': 13902.18, 'ram_available_mb': 11656.86}
2026-04-08 16:54:16,527 | INFO | Loading model from scratch for SAP generation.
2026-04-08 16:54:18,580 | INFO | System status @ before_sap_generate: {'python_pid': 1641, 'cuda_available': True, 'cuda_device_count': 1, 'cuda_device_name': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'cuda_total_memory_mb': 16383.5, 'cuda_allocated_mb': 9.12, 'cuda_reserved_mb': 22.0, 'ram_total_mb': 13902.18, 'ram_available_mb': 11547.5}
2026-04-08 16:54:18,580 | INFO | Generating image -> results_compare/a_bear_is_performing_a_handstand_in_the_park/seed_308/sap.png
